dataset,flakyTrain,nonFlakyTrain,flakyTest,nonFlakyTest,loss,accuracy,precision,recall,TP,TN,FP,FN
achilles,54,6,13,2,0.6270230412483215,0.6666666865348816,0.8999999761581421,0.692307710647583,9.0,1.0,1.0,4.0
alluxio-tachyon,3,2189,1,548,0.5773678421974182,0.6921675801277161,0.0058823530562222,1.0,1.0,379.0,169.0,0.0
ambari,3,6,1,2,0.6496240496635437,1.0,1.0,1.0,1.0,2.0,0.0,0.0
hadoop,244,2387,61,597,0.6085322499275208,0.6565349698066711,0.19330854713916779,0.8524590134620667,52.0,380.0,217.0,9.0
jackrabbit-oak,6,7372,2,1843,0.7214928269386292,0.5430894494056702,0.002366863889619708,1.0,2.0,1000.0,843.0,0.0
jimfs,6,358,1,90,0.6341987252235413,0.593406617641449,0.02631578966975212,1.0,1.0,53.0,37.0,0.0
ninja,14,750,4,187,0.5250883102416992,0.7591623067855835,0.0625,0.75,3.0,142.0,45.0,1.0
okhttp,53,1185,13,297,0.6956816911697388,0.551612913608551,0.0625,0.692307710647583,9.0,162.0,135.0,4.0
oozie,685,251,171,63,0.3772122859954834,0.8504273295402527,0.9047619104385376,0.8888888955116272,152.0,47.0,16.0,19.0
oryx,10,298,3,74,0.8066665530204773,0.5714285969734192,0.0,0.0,0.0,44.0,30.0,3.0
spring-boot,11,5445,3,1362,0.15601089596748352,0.995604395866394,0.0,0.0,0.0,1359.0,3.0,3.0
togglz,9,309,2,78,0.715068519115448,0.5874999761581421,0.05714285746216774,1.0,2.0,45.0,33.0,0.0
wro4j,8,802,2,201,0.5966665148735046,0.7044335007667542,0.01666666753590107,0.5,1.0,142.0,59.0,1.0
bert_no_mix,-,-,-,-,-,-,0.24857268964227003,0.7212279484822199,-,-,-,-